feature,function,category,template_ref,sections_ref,app_ref,data_ref,estimate_lines
donation,reward list,Usable,templates/donation/reward-list.twig,-,-,-,56
email,-,Reusable,templates/email,-,-,-,205
email,password change,Reusable,templates/email/password-change.twig,-,-,-,21
email,invite member,Reusable,templates/email/invite-member.twig,-,-,-,29
email,registration,Reusable,templates/email/registration.twig,-,-,-,17
email,password reset,Reusable,templates/email/password-reset.twig,-,-,-,11
email,recovery,Reusable,templates/email/recovery.twig,-,-,-,31
email,invite interviewer,Reusable,templates/email/invite-interviewer.twig,-,-,-,23
email,referral,Reusable,templates/email/referral.twig,-,-,-,22
email,hacked,Reusable,templates/email/hacked.twig,-,-,-,15
email,disable warning,Reusable,templates/email/disable-warning.twig,-,-,-,12
enable,-,Reusable,templates/enable,sections/enable,-,-,201
enable,list,Reusable,templates/enable/list.twig,-,-,-,154
enable,processed,Reusable,templates/enable/processed.twig,-,-,-,10
feed,-,Reusable,templates/feed,-,app/Feed.php,-,218
feed,channel,Reusable,templates/feed/channel.twig,-,app/Feed.php,-,199
forum,-,Usable,templates/forum,sections/forums,app/Forum.php,forums,2308
forum,poll,Usable,templates/forum/poll.twig,-,app/Forum.php,forums,562
forum,warn,Usable,templates/forum/warn.twig,sections/forums/warn.php,app/Forum.php,forums,523
forum,new thread,Usable,templates/forum/new-thread.twig,sections/forums/new_thread.php,app/Forum.php,forums,559
forum,main,Usable,templates/forum/main.twig,sections/forums/main.php,app/Forum.php,forums,513
inbox,-,Usable,templates/inbox,sections/inbox,-,-,429
inbox,conversation,Usable,templates/inbox/conversation.twig,sections/inbox/conversation.php,-,-,122
inbox,compose,Usable,templates/inbox/compose.twig,sections/inbox/compose.php,-,-,41
index,-,Usable,templates/index,sections/index,-,-,443
invite,-,Reusable,templates/invite,-,app/Invite.php,-,115
invite,pool,Reusable,templates/invite/pool.twig,-,app/Invite.php,-,115
logchecker,-,Redundant,templates/logchecker,sections/logchecker,-,-,327
login,-,Usable,templates/login,sections/login,app/Login.php,-,663
